Tabla,NombreProducto,Clase,País
Union Europea,Steirischer Kren,"Fruit, vegetables and cereals fresh or processed",Austria
Union Europea,Steirisches Kürbiskernöl,"Oils and fats (butter, margarine, etc.)",Austria
Union Europea,Tiroler Bergkäse,Cheeses,Austria
Union Europea,Tiroler Graukäse,Cheeses,Austria
Union Europea,Tiroler Speck,"Meat products (cooked, salted, smoked, etc.)",Austria
Union Europea,Vorarlberger Bergkäse,Cheeses,Austria
Union Europea,Beurre d'Ardenne,"Oils and fats (butter, margarine, etc.)",Belgium
Union Europea,Fromage de Herve,Cheeses,Belgium
Union Europea,Jambon d'Ardenne,"Meat products (cooked, salted, smoked, etc.)",Belgium
Union Europea,Pâté Gaumais,other products of Annex I of the Treaty (spices etc.),Belgium
Union Europea,Plate de Florenville,"Fruit, vegetables and cereals fresh or processed",Belgium
Union Europea,Българско розово масло,Essential oils,Bulgaria
Union Europea,Γλυκό Τριαντάφυλλο Αγρού,"Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Cyprus
Union Europea,Λουκούμι Γεροσκήπου,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Cyprus
Union Europea,Bulgarsko rozovo maslo,Essential oils,Bulgaria
Union Europea,Glyko Triantafyllo Agrou,"Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Cyprus
Union Europea,Loukoumi Geroskipou,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Cyprus
Union Europea,Budějovické pivo,Beers,Czechia
Union Europea,Budějovický měšťanský var,Beers,Czechia
Union Europea,České pivo,Beers,Czechia
Union Europea,Českobudějovické pivo,Beers,Czechia
Union Europea,Žatecký chmel,other products of Annex I of the Treaty (spices etc.),Czechia
Union Europea,Aachener Printen,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Allgäuer Bergkäse,Cheeses,Germany
Union Europea,Allgäuer Emmentaler,Cheeses,Germany
Union Europea,Bayerische Breze,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Bayerische Brezel,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Bayerische Brez'n,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Bayerische Brezn,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Bayerisches Bier,Beers,Germany
Union Europea,Bremer Bier,Beers,Germany
Union Europea,Dortmunder Bier,Beers,Germany
Union Europea,Dresdner Christstollen,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Dresdner Weihnachtsstollen,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Dresdner Stollen,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Holsteiner Katenschinken,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Holsteiner Knochenschinken,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Holsteiner Katenrauchschinken,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Holsteiner Schinken,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Hopfen aus der Hallertau,other products of Annex I of the Treaty (spices etc.),Germany
Union Europea,Kölsch,Beers,Germany
Union Europea,Kulmbacher Bier,Beers,Germany
Union Europea,Lübecker Marzipan,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Münchener Bier,Beers,Germany
Union Europea,Nürnberger Bratwürste,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Nürnberger Rostbratwürste,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Nürnberger Lebkuchen,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Germany
Union Europea,Schwäbische Spätzle,Pasta,Germany
Union Europea,Schwäbische Knöpfle,Pasta,Germany
Union Europea,Schwarzwälder Schinken,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Tettnanger Hopfen,other products of Annex I of the Treaty (spices etc.),Germany
Union Europea,Thüringer Rostbratwurst,"Meat products (cooked, salted, smoked, etc.)",Germany
Union Europea,Danablu,Cheeses,Denmark
Union Europea,Esrom,Cheeses,Denmark
Union Europea,Γραβιέρα Κρήτης,Cheeses,Revisar
Union Europea,Graviera Kritis,Cheeses,Revisar
Union Europea,Γραβιέρα Νάξου,Cheeses,Revisar
Union Europea,Graviera Naxou,Cheeses,Revisar
Union Europea,Ελιά Καλαμάτας,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Elia Kalamatas,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Καλαμάτα,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Kalamata,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Κασέρι,Cheeses,Revisar
Union Europea,Kasseri,Cheeses,Revisar
Union Europea,Κεφαλογραβιέρα,Cheeses,Revisar
Union Europea,Kefalograviera,Cheeses,Revisar
Union Europea,Κολυμβάρι Χανίων Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Kolymvari Chanion Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Κονσερβολιά Ροβίων,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Konservolia Rovion,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Κορινθιακή Σταφίδα Βοστίτσα,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Korinthiaki Stafida Vostitsa,"Fruit, vegetables and cereals fresh or processed",Revisar
Union Europea,Κρόκος Κοζάνης,other products of Annex I of the Treaty (spices etc.),Revisar
Union Europea,Krokos Kozanis,other products of Annex I of the Treaty (spices etc.),Revisar
Union Europea,Λακωνία,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Lakonia,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Λυγουριό Ασκληπιείου,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Lygourio Asklipiiou,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Μανούρι,Cheeses,Revisar
Union Europea,Manouri,Cheeses,Revisar
Union Europea,Μαστίχα Χίου,Natural gums and resines,Revisar
Union Europea,Masticha Chiou,Natural gums and resines,Revisar
Union Europea,Πεζά Ηρακλείου Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Peza Irakliou Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Σητεία Λασιθίου Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Sitia Lasithiou Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Φέτα,Cheeses,Revisar
Union Europea,Feta,Cheeses,Revisar
Union Europea,Χανιά Κρήτης,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Chania Kritis,"Oils and fats (butter, margarine, etc.)",Revisar
Union Europea,Aceite de la Rioja,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite de Terra Alta,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Oli de Terra Alta,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite del Baix Ebre-Montsià,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Oli del Baix Ebre-Montsià,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Aceite del Bajo Aragón,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Alfajor de Medina Sidonia,"Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Spain
Union Europea,Antequera,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Azafrán de la Mancha,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Baena,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Carne de Vacuno del País Vasco,Fresh meat (and offal),Spain
Union Europea,Euskal Okela,Fresh meat (and offal),Spain
Union Europea,Cecina de León,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Chorizo Riojano,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Cítricos Valencianos; Cítrics Valencians,"Fruit, vegetables and cereals fresh or processed",Spain
Union Europea,Dehesa de Extremadura,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Estepa,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Guijuelo,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Idiazabal,Cheeses,Spain
Union Europea,Jabugo,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jamón de Trevélez,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jamón de Teruel/ Paleta de Teruel ,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Jijona ,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Les Garrigues,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Los Pedroches,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Mahón-Menorca,Cheeses,Spain
Union Europea,Pimentón de la Vera,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Pimentón de Murcia,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Polvorones de Estepa,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Priego de Córdoba,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Queso Manchego ,Cheeses,Spain
Union Europea,Queso Tetilla,Cheeses,Spain
Union Europea,Queixo Tetilla,Cheeses,Spain
Union Europea,Salchichón de Vic,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Llonganissa de Vic,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Sidra de Asturias,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Sidra d'Asturies,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Sierra de Cádiz,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra de Cazorla,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra de Segura,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sierra Mágina,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Siurana ,"Oils and fats (butter, margarine, etc.)",Spain
Union Europea,Sobrasada de Mallorca,"Meat products (cooked, salted, smoked, etc.)",Spain
Union Europea,Ternera Asturiana,Fresh meat (and offal),Spain
Union Europea,Ternera de Navarra,Fresh meat (and offal),Spain
Union Europea,Nafarroako Aratxea,Fresh meat (and offal),Spain
Union Europea,Ternera Gallega,Fresh meat (and offal),Spain
Union Europea,Torta del Casar,Cheese ,Spain
Union Europea,Turrón de Alicante ,"Bread, pastry, cakes, confectionary, biscuits and other baker's wares",Spain
Union Europea,Vinagre de Jerez,other products of Annex I of the Treaty (spices etc.),Spain
Union Europea,Abondance ,Cheeses,France
Union Europea,Banon,Cheeses,France
Union Europea,Beaufort ,Cheeses,France
Union Europea,Bleu d'Auvergne,Cheeses,France
Union Europea,Bœuf de Charolles,Fresh meat (and offal),France
Union Europea,Brie de Meaux,Cheeses,France
Union Europea,Brillat-Savarin,Cheeses,France
Union Europea,Camembert de Normandie,Cheeses,France
Union Europea,Canard à foie gras du Sud-Ouest,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Chalosse,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Gascogne,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Gers,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Landes,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Périgord,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Quercy,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Cantal,Cheeses,France
Union Europea,Cantalet,Cheeses,France
Union Europea,Fourme de Cantal,Cheeses,France
Union Europea,Chabichou du Poitou,Cheeses,France
Union Europea,Chaource ,Cheeses,France
Union Europea,Comté ,Cheeses,France
Union Europea,Crottin de Chavignol,Cheeses,France
Union Europea,Chavignol,Cheeses,France
Union Europea,Emmental de Savoie,Cheeses,France
Union Europea,Époisses,Cheeses,France
Union Europea,Fourme d'Ambert,Cheeses,France
Union Europea,Génisse Fleur d'Aubrac,Fresh meat (and offal),France
Union Europea,Gruyère,Cheeses,France
Union Europea,Huile d'olive de Haute-Provence,"Oils and fats (butter, margarine, etc.)",France
Union Europea,Huile essentielle de lavande de Haute-Provence,Essential oils,France
Union Europea,Essence de lavande de Haute-Provence,Essential oils,France
Union Europea,Huîtres Marennes Oléron,"Fresh fish, molluscs, and crustaceans and products derived therefrom",France
Union Europea,Jambon de Bayonne,"Meat products (cooked, salted, smoked, etc.)",France
Union Europea,Lentille verte du Puy,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Maroilles,Cheeses,France
Union Europea,Marolles,Cheeses,France
Union Europea,Morbier,Cheeses,France
Union Europea,Munster,Cheeses,France
Union Europea,Munster-Géromé,Cheeses,France
Union Europea,Neufchâtel ,Cheeses,France
Union Europea,Noix de Grenoble ,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Pont-l'Évêque ,Cheeses,France
Union Europea,Pruneaux d'Agen,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Pruneaux d'Agen mi-cuits,"Fruit, vegetables and cereals fresh or processed",France
Union Europea,Reblochon,Cheeses,France
Union Europea,Reblochon de Savoie,Cheeses,France
Union Europea,Roquefort,Cheeses,France
Union Europea,Sainte-Maure de Touraine,Cheeses,France
Union Europea,Saint-Marcellin,Cheeses,France
Union Europea,Saint-Nectaire ,Cheeses,France
